survived,pclass,age,sibsp,parch,fare
1,1,38.0,1,0,71.2833
1,1,35.0,1,0,53.1
0,1,54.0,0,0,51.8625
1,3,4.0,1,1,16.7
1,1,58.0,0,0,26.55
1,2,34.0,0,0,13.0
1,1,28.0,0,0,35.5
0,1,19.0,3,2,263.0
1,1,49.0,1,0,76.7292
0,1,65.0,0,1,61.9792
0,1,45.0,1,0,83.475
1,2,29.0,0,0,10.5
0,3,25.0,0,0,7.65
1,1,23.0,3,2,263.0
0,1,46.0,1,0,61.175
0,1,71.0,0,0,34.6542
1,1,23.0,0,1,63.3583
0,1,21.0,0,1,77.2875
0,1,47.0,0,0,52.0
0,1,24.0,0,1,247.5208
1,2,32.5,0,0,13.0
0,1,54.0,0,1,77.2875
1,1,19.0,0,2,26.2833
0,1,37.0,1,0,53.1
0,1,24.0,0,0,79.2
0,2,36.5,0,2,26.0
1,1,22.0,1,0,66.6
0,1,61.0,0,0,33.5
0,1,56.0,0,0,30.6958
0,1,50.0,0,0,28.7125
1,2,1.0,2,1,39.0
1,2,3.0,1,1,26.0
1,1,44.0,0,0,27.7208
1,1,58.0,0,0,146.5208
0,3,2.0,0,1,10.4625
1,1,40.0,0,0,31.0
1,1,31.0,1,0,113.275
1,1,32.0,0,0,76.2917
1,1,38.0,1,0,90.0
1,1,35.0,1,0,83.475
0,1,44.0,2,0,90.0
1,1,37.0,1,1,52.5542
0,3,29.0,1,1,10.4625
0,1,62.0,0,0,26.55
1,1,30.0,0,0,86.5
0,1,52.0,1,1,79.65
0,1,40.0,0,0,0.0
1,1,58.0,0,1,153.4625
1,1,35.0,0,0,135.6333
0,1,37.0,0,1,29.7
1,1,63.0,1,0,77.9583
1,1,19.0,1,0,91.0792
0,2,36.0,0,0,12.875
0,1,2.0,1,2,151.55
1,1,50.0,0,1,247.5208
1,1,0.92,1,2,151.55
1,1,17.0,1,0,108.9
1,1,30.0,0,0,56.9292
1,1,24.0,0,0,83.1583
1,1,18.0,2,2,262.375
1,1,31.0,0,2,164.8667
1,1,40.0,1,1,134.5
1,1,36.0,0,0,135.6333
1,2,36.0,0,0,13.0
1,1,16.0,0,1,57.9792
0,1,45.5,0,0,28.5
0,1,38.0,0,1,153.4625
0,1,29.0,1,0,66.6
1,1,41.0,0,0,134.5
0,1,45.0,0,0,35.5
1,2,2.0,1,1,26.0
1,1,24.0,3,2,263.0
1,2,24.0,0,0,13.0
1,1,22.0,0,1,55.0
1,1,60.0,1,0,75.25
1,1,24.0,0,0,69.3
1,1,25.0,1,0,55.4417
0,1,27.0,0,2,211.5
1,1,36.0,1,2,120.0
1,1,23.0,1,0,113.275
1,3,24.0,0,2,16.7
1,1,33.0,1,0,90.0
1,3,32.0,0,0,8.05
1,1,28.0,0,0,26.55
0,1,50.0,1,0,55.9
1,1,14.0,1,2,120.0
0,1,64.0,1,4,263.0
1,1,4.0,0,2,81.8583
1,1,52.0,0,0,30.5
